I	I[ALFS]

Aqopiyamanta	Aqopiya[NP][^DB][--]manta[Cas][+Abl]

kani	ka[VRoot][=ser][^DB][--]ni[VPers][+1.Sg.Subj]

,	,[$,]

ñan	ña[Part_Disc][^DB][--]n[Amb][+DirE]

tawa	tawa[NRootNUM]

chunka	chunka[NRootNUM]

wataña	wata[NRoot][=año][^DB][--]ña[Amb][+Disc]

llaqtaymanta	llaqta[NRoot][=pueblo][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]manta[Cas][+Abl]

chayamusqay	chaya[VRoot][=llegar][--]mu[VDeriv][+Cis_Trs][^DB][--]sqa[NS][+Perf][^DB][--]y[NPers][+1.Sg.Poss]

,	,[$,]

Gregorio	Gregorio[NP]

Condori	Condori[NP]

Mamanin	Mamani[NRoot][=gavilán][^DB][--]n[Amb][+DirE]

sutiy	suti[NRoot][=nombre][^DB][--]y[NPers][+1.Sg.Poss]

.	.[$,]

Llaqtaymanta	Llaqta[NRoot][=pueblo][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]manta[Cas][+Abl]

hanpurani	hampu[VRoot][=regresar][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

mana	mana[Part_Neg]

mamay	mama[NRoot][=madre,señora][^DB][--]y[NPers][+1.Sg.Poss]

taytay	tayta[NRoot][=padre][^DB][--]y[NPers][+1.Sg.Poss]

kaqtin	ka[VRoot][=ser][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss]

;	;[$,]

totalmente	totalmente[SP]

q'ara	q'ara[NRoot][=desnudo]

,	,[$,]

wakcha	wakcha[NRoot][=pobre]

,	,[$,]

madrinaypa	madrina[NRootES][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]pa[Cas][+Gen]

makinpi	maki[NRoot][=mano][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]pi[Cas][+Loc]

karani	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

.	.[$,]

Paymi	Pay[PrnPers+3.Sg][^DB][--]mi[Amb][+DirE]

chukchayta	chukcha[NRoot][=cabello][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc]

rutuwaran	rutu[VRoot][=cortar][^DB][--]wa[VPers][+1.Obj][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

,	,[$,]

hinaspa	hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

huk	huk[NRootNUM]

p'unchay	p'unchay[NRoot][=día]

hatunchaña	hatun[NRoot][=grande][--]cha[NDeriv][+Dim][^DB][--]ña[Amb][+Disc]

kashaqtiy	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]y[NPers][+1.Sg.Poss]

niwaq	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]q[NS][+Ag]

:	:[$,]

-	-[$-]

Ñataq	Ña[Part_Disc][^DB][--]taq[Amb][+Con_Intr]

hallpayoqña	hallpayoqña	+?

kanki	ka[VRoot][=ser][^DB][--]nki[VPers][+2.Sg.Subj]

,	,[$,]

tullu	tullu[NRoot][=hueso]

takyasqa	takya[VRoot][=detenerse,ser_estable][^DB][--]sqa[NS][+Perf]

,	,[$,]

chayqa	chay[PrnDem][^DB][--]qa[Amb][+Top]

llank'aqmi	llank'a[VRoot][=trabajar][^DB][--]q[NS][+Ag][^DB][--]mi[Amb][+DirE]

rinayki	ri[VRoot][=ir][^DB][--]na[NS][+Obl][^DB][--]yki[NPers][+2.Sg.Poss]

.	.[$,]

Qoqawaykitayá	Quqawa[NRoot][=víveres,fiambre][^DB][--]yki[NPers][+2.Sg.Poss][^DB][--]ta[Cas][+Acc][^DB][--]yá[Amb][+Emph]

ruwapusayki	ruwa[VRoot][=hacer][--]pu[VDeriv][+Rgr_Iprs][^DB][--]sqayki[VPers][+1.Sg.Subj_2.Sg.Obj.Fut]

llank'ana	llank'a[VRoot][=trabajar][^DB][--]na[NS][+Obl]

maskhamunaykipaq	maskha[VRoot][=buscar][--]mu[VDeriv][+Cis_Trs][^DB][--]na[NS][+Obl][^DB][--]yki[NPers][+2.Sg.Poss][^DB][--]paq[Cas][+Ben]

,	,[$,]

a	a[SP]

ver	ver	+?

icha	icha[Part_Contr]

qolqeta	qulqi[NRoot][=plata][^DB][--]ta[Cas][+Acc]

apamuwaq	apa[VRoot][=llevar][--]mu[VDeriv][+Cis_Trs][^DB][--]wa[VPers][+1.Obj][^DB][--]q[NS][+Ag]

kachi	kachi[NRoot][=sal]

lawa	lawa[NRoot][=mazamorra]

mikhullasqaykipaqpas	mikhu[VRoot][=comer][^DB][--]lla[Amb][+Lim_Aff][^DB][--]sqa[NS][+Perf][^DB][--]yki[NPers][+2.Sg.Poss][^DB][--]paq[Cas][+Ben][^DB][--]pas[Amb][+Add]

.	.[$,]

Ñataq	Ña[Part_Disc][^DB][--]taq[Amb][+Con_Intr]

tullu	tullu[NRoot][=hueso]

takyasqa	takya[VRoot][=detenerse,ser_estable][^DB][--]sqa[NS][+Perf]

kallpayoqña	kallpa[NRoot][=fuerte][^DB][--]yuq[NDeriv][+Poss][^DB][--]ña[Amb][+Disc]

kanki	ka[VRoot][=ser][^DB][--]nki[VPers][+2.Sg.Subj]

,	,[$,]

chayqa	chay[PrnDem][^DB][--]qa[Amb][+Top]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

maki	maki[NRoot][=mano]

ñeqeypi	ñiqi[NRoot][=choque][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]pi[Cas][+Loc]

hap'iyta	hap'i[VRoot][=agarrar,entender][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

atiykimanñachu	ati[VRoot][=poder,vencer][^DB][--]yki[VPers][+1.Sg.Subj_2.Sg.Obj][--]man[Mod][+Pot][^DB][--]ña[Amb][+Disc][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Paqareq	Paqari[VRoot][=amanecer][^DB][--]q[NS][+Ag]

warmiyoq	warmi[NRoot][=mujer][^DB][--]yuq[NDeriv][+Poss]

wawayoq	wawa[NRoot][=niño][^DB][--]yuq[NDeriv][+Poss]

kanki	ka[VRoot][=ser][^DB][--]nki[VPers][+2.Sg.Subj]

a	a[SP]

lo	lo[SP]

mejor	mejor[NRootES]

tocasunki	toca[VRootES][^DB][--]sunki[VPers][+3.Subj_2.Sg.Obj]

huk	huk[NRootNUM]

warmi	warmi[NRoot][=mujer]

mana	mana[Part_Neg]

imapi	ima[NRoot][=cosa][^DB][--]pi[Cas][+Loc]

yanapakoq	yanapa[VRoot][=ayudar][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]q[NS][+Ag]

.	.[$,]

Hinaspa	Hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

ñakawankiman	ñaka[VRoot][=maldecir][^DB][--]wa[VPers][+1.Obj][^DB][--]nki[VPers][+2.Sg.Subj][--]man[Mod][+Pot]

,	,[$,]

y	y[SP]

mana	mana[Part_Neg]

noqa	nuqa[PrnPers+1.Sg]

munanichu	muna[VRoot][=querer][^DB][--]ni[VPers][+1.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

